hour,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
00,202824,89823,63127,38017,11857,55647.47,0.13200405241419236,4.693216665261027
01,184093,76937,58649,36566,11941,53548.94,0.155204907911668,4.484460262959551
02,202669,84941,64488,40934,12306,58054.87,0.1448770322930034,4.717606858443036
03,283222,122096,84542,61084,15500,75796.41,0.12694928580788886,4.890090967741935
04,398557,181733,114876,79925,22023,108355.57,0.12118327436403956,4.920109431049358
05,603889,273928,174375,120276,35310,172329.76,0.12890248532461085,4.880480317190598
06,814449,377012,227851,158784,50802,255409.26,0.1347490265561839,5.0275434038030005
07,968572,455206,268062,182970,62334,311343.85,0.13693580488833626,4.994767703019218
08,1066729,502937,295857,197612,70323,362003.61,0.1398246698890716,5.147727059425792
09,1133492,529162,313178,214648,76504,385431.64,0.14457576318783283,5.038058663599289
10,1189988,558185,327766,224655,79382,405974.49,0.1422144987772871,5.114188229069562
11,1230501,574715,335876,234301,85609,435985.12,0.148959049267898,5.092748659603546
12,1244408,583202,339259,238192,83755,420905.9,0.1436123332910381,5.025442063160408
13,1176683,559653,319036,220502,77492,385299.43,0.13846436988634028,4.972118799359934
14,1107535,525131,301754,209232,71418,350829.13,0.13600035038876013,4.912334845557143
15,1065422,503031,293174,202379,66838,332991.73,0.1328705387938318,4.982072024896017
16,1105075,516846,308720,213797,65712,325281.98,0.12714038611114337,4.950115351838325
17,1179788,561015,324171,226714,67888,331105.53,0.12100924217712539,4.877232058684893
18,1302034,606853,361419,260131,73631,356059.66,0.12133251380482588,4.835730330974725
19,1363549,641355,381307,264324,76563,367029.08,0.11937694412610801,4.793817901597378
20,1226341,574704,344729,234020,72888,348477.12,0.12682702747849328,4.7809944023707605
21,845428,389034,238956,167607,49831,235477.64,0.12808906162443384,4.725525074752665
22,505018,234253,143988,96914,29863,136477.96,0.12748182520608062,4.570135619328266
23,292574,136069,83173,56095,17237,78188.72,0.12667837641196747,4.536097928873934
